,time,dust,sia,pm2p5,pans,nmvoc,nh3,pm10
1053,2020-11-19,0.10069171,5.0188966,12.505647,0.7692401,10.404595,0.07574965,12.89193
1054,2020-11-20,0.0067515727,0.27220002,2.3571014,0.79728895,1.7540377,0.14135686,4.980476
1055,2020-11-21,0.0015753174,1.0594342,4.876229,0.81918734,2.2716987,0.12296014,6.3072224
1056,2020-11-22,0.007939942,2.352022,7.182703,0.67491406,5.74889,0.035616357,8.109543
1057,2020-11-23,0.0040383013,0.76169986,4.4106784,0.7423319,2.4615173,0.07022655,10.548706
1058,2020-11-24,0.0044109426,1.3860312,4.134265,0.65621215,4.012199,0.074690014,5.715544
1059,2020-11-25,0.11951184,3.59814,10.693461,0.49802753,7.3576264,0.015150464,8.105807
1060,2020-11-26,0.236172,6.660698,24.154165,0.8573775,10.070031,0.017033907,10.454553
1061,2020-11-27,0.04408248,1.3656203,5.580152,0.6805429,5.6837687,0.047435656,3.9992282
1062,2020-11-28,0.011970873,0.7155506,3.5235167,0.5681767,6.654631,0.030952638,2.2687447
1063,2020-11-29,0.013281534,1.2219068,4.6416717,0.7217718,7.982846,0.021097587,3.6334417
1064,2020-11-30,0.027067676,1.9504122,7.6718183,0.82717925,11.066502,0.018732162,5.657514
1065,2020-12-01,0.039084595,3.1178713,13.760632,1.0111206,8.7132635,0.032352507,8.675876
1066,2020-12-02,0.3676462,2.6172848,10.705586,1.0342842,6.308637,0.05052519,7.4134088
1067,2020-12-03,1.0883921,3.5473328,12.670704,0.7732982,6.147967,0.017715983,9.195527
1068,2020-12-04,0.8793866,4.2294517,11.094098,0.92583805,6.0534286,0.0072564143,10.264282
1069,2020-12-05,1.0877694,5.9685216,13.767999,1.1010301,5.4100413,0.002841429,12.4802065
1070,2020-12-06,1.0405828,4.194025,11.295822,1.1264849,3.4662635,0.052910894,10.33236
1071,2020-12-07,0.3318201,2.3401234,8.075311,0.8719604,2.41934,0.11054152,5.3913245
1072,2020-12-08,0.687001,3.386279,10.890489,1.1991962,3.2328966,0.020755177,9.850152
